ID,Severity,VPR Score (Beta),VPR Score,CVSS Score,Plugin Name,Software,Path,Software Fix Version
CVE-2026-43341,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43341,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43341,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43341,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43304,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43304,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43304,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43304,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43208,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43208,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43198,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43198,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43198,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43198,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43186,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43186,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43186,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43186,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43185,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43185,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43125,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43125,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43067,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43067,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43067,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43067,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43039,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43039,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43038,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43038,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-43038,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43038,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43037,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43037,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
