asset.display_ipv4_address,asset.name,asset_id,definition.family,definition.id,definition.name,definition.vpr.score,finding_id,first_observed,last_seen,severity,state
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,08a44688-3d76-52f9-ac8a-5e48e36e80de,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112553,Missing 'Cache-Control' Header,1.4,08de8612-c466-506d-b1a1-2bd74e17621a,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112554,Permissive Content Security Policy Detected,2.15,0918ea98-abcb-58a8-a4dc-5d405f131c23,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
172.67.146.18,help.shieldsec.com.br,6629f20e-60a9-4179-8cc9-21813a504bd2,HTTP Security Header,98060,Missing 'X-Frame-Options' Header,2.15,0aee0d61-223f-5470-9b56-f9bc38443a9f,2026-06-05T19:00:15.018Z,2026-06-05T19:00:15.018Z,Low,NEW
172.67.146.18,help.shieldsec.com.br,6629f20e-60a9-4179-8cc9-21813a504bd2,HTTP Security Header,98063,Cookie Without HttpOnly Flag Detected,1.4,0af222c9-eb71-5952-a49c-22981536d07f,2026-06-05T19:00:15.018Z,2026-06-05T19:00:15.018Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,114796,Content Security Policy Missing 'Report-To',2.15,0b2bcb0f-7cd9-55f6-927e-98d2b90ee973,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
89.117.7.156,www.shieldsec.com.br,bac88b2d-2e9a-4b49-8468-9af6be0a1e8a,HTTP Security Header,112554,Permissive Content Security Policy Detected,2.15,0d5e7813-b168-5b7d-9f1c-6101d9b26b45,2026-06-05T19:00:14.988Z,2026-06-05T19:00:14.988Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112529,Missing 'X-Content-Type-Options' Header,2.9,0e370f61-803d-5886-ac45-ce630f90f3c9,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,112553,Missing 'Cache-Control' Header,1.4,0fe60351-6d04-5148-b4a1-0f271a969ab6,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
20.190.173.64,enterpriseregistration.shieldsec.com.br,b1209bb6-3c68-417b-85b9-6e969db96a2f,SSL/TLS,112539,SSL/TLS Weak Cipher Suites Supported,1.4,11a8aac1-6df0-5bd7-80d4-ce5234f7443d,2026-06-05T19:00:15.565Z,2026-06-05T19:00:15.565Z,Low,NEW
,portal.shieldsec.com.br,b0f3fd02-769e-472c-9354-3680725addfd,HTTP Security Header,114796,Content Security Policy Missing 'Report-To',2.15,13e988d3-8db1-5089-aff1-e2a196a31659,2026-06-05T19:00:14.961Z,2026-06-05T19:00:14.961Z,Low,NEW
20.190.173.64,enterpriseregistration.shieldsec.com.br,b1209bb6-3c68-417b-85b9-6e969db96a2f,SSL/TLS,112541,SSL/TLS Certificate Common Name Mismatch,1.4,157119e0-c1b9-538b-9d66-bdd81856ba8d,2026-06-05T19:00:15.565Z,2026-06-05T19:00:15.565Z,Medium,NEW
